UsageStartDate,UsageEndDate,UsageType,ResourceId,UsageAmount,CurrencyCode,UnblendedCost
2018-10-20T20:00:00Z,2018-10-21T00:00:00Z,SpotUsage:i3.8xlarge,i-074af4b855f52063f,4.0000000000,USD,3.3500000330
2018-10-20T20:00:00Z,2018-10-21T00:00:00Z,SpotUsage:i3.8xlarge,i-0c4703af852166a76,4.0000000000,USD,3.3500000330
2018-10-20T21:00:00Z,2018-10-20T23:00:00Z,SpotUsage:i3.8xlarge,i-0631b21f8e8a0864d,1.6877780000,USD,1.4135141081
2018-10-20T21:00:00Z,2018-10-20T23:00:00Z,SpotUsage:i3.8xlarge,i-078a3e77a425e595f,1.6877780000,USD,1.4135141081
2018-10-20T21:00:00Z,2018-10-21T00:00:00Z,SpotUsage:i3.8xlarge,i-03ed583335e862a80,2.5344440000,USD,2.1225968863
2018-10-21T00:00:00Z,2018-10-21T03:00:00Z,SpotUsage:i3.8xlarge,i-09993c05766cd9ad5,2.2775000000,USD,1.9071513703
2018-10-21T00:00:00Z,2018-10-21T03:00:00Z,SpotUsage:i3.8xlarge,i-0b8e4164a5494d201,2.7866670000,USD,2.3474882360
2018-10-21T00:00:00Z,2018-10-21T03:00:00Z,SpotUsage:i3.8xlarge,i-0c9d7bd23722dd806,2.7863890000,USD,2.3472540488
2018-10-21T00:00:00Z,2018-10-21T04:00:00Z,SpotUsage:i3.8xlarge,i-0b651522deb9c1a64,3.9719440000,USD,3.3230575789
2018-10-21T00:00:00Z,2018-10-21T04:00:00Z,SpotUsage:i3.8xlarge,i-0c4703af852166a76,3.2094440000,USD,2.6864463141
2018-10-21T00:00:00Z,2018-10-21T05:00:00Z,SpotUsage:i3.8xlarge,i-011ab2e2ad34240e1,4.1055560000,USD,3.4585203174
2018-10-21T00:00:00Z,2018-10-21T05:00:00Z,SpotUsage:i3.8xlarge,i-0278bdc6b1e2c2944,4.6663890000,USD,3.9028496927
2018-10-21T00:00:00Z,2018-10-21T05:00:00Z,SpotUsage:i3.8xlarge,i-04c3d31202eb7e419,4.6294440000,USD,3.8720043131
2018-10-21T00:00:00Z,2018-10-21T05:00:00Z,SpotUsage:i3.8xlarge,i-074af4b855f52063f,4.4263890000,USD,3.7024736989
2018-10-21T00:00:00Z,2018-10-21T05:00:00Z,SpotUsage:i3.8xlarge,i-085d65fca1042ac85,4.3497220000,USD,3.6642057558
2018-10-21T00:00:00Z,2018-10-21T05:00:00Z,SpotUsage:i3.8xlarge,i-0ba43096bea0d1ea5,4.2797220000,USD,3.6052377558
2018-10-21T00:00:00Z,2018-10-21T06:00:00Z,SpotUsage:i3.8xlarge,i-01aa94b045d806eb0,5.5147220000,USD,4.6111228538
2018-10-21T00:00:00Z,2018-10-21T06:00:00Z,SpotUsage:i3.8xlarge,i-041219e890fe4ffdf,5.3911110000,USD,4.5414718494
2018-10-21T00:00:00Z,2018-10-21T06:00:00Z,SpotUsage:i3.8xlarge,i-05c5c011a97488771,5.4088890000,USD,4.5564480366
2018-10-21T00:00:00Z,2018-10-21T06:00:00Z,SpotUsage:i3.8xlarge,i-089b3c4accebbb645,5.0277780000,USD,4.2045733574
2018-10-21T00:00:00Z,2018-10-21T06:00:00Z,SpotUsage:i3.8xlarge,i-08e5f1dfa3f5c192b,5.4602780000,USD,4.5656675637
2018-10-21T00:00:00Z,2018-10-21T06:00:00Z,SpotUsage:i3.8xlarge,i-098cdc9a66f574a59,5.4594440000,USD,4.5649712572
2018-10-21T15:00:00Z,2018-10-21T19:00:00Z,SpotUsage:i3.8xlarge,i-096aa4d7cdad10697,3.6522220000,USD,3.0730000720
2018-10-21T15:00:00Z,2018-10-21T20:00:00Z,SpotUsage:i3.8xlarge,i-02bfbd084504fb7dd,4.8127780000,USD,4.0493758414
2018-10-21T15:00:00Z,2018-10-21T20:00:00Z,SpotUsage:i3.8xlarge,i-04bc7c8b3c3bcffe2,4.3733330000,USD,3.6796707562
2018-10-21T15:00:00Z,2018-10-21T20:00:00Z,SpotUsage:i3.8xlarge,i-05da659323e69818a,4.6933330000,USD,3.9488867611
2018-10-21T15:00:00Z,2018-10-21T20:00:00Z,SpotUsage:i3.8xlarge,i-05fe99251e243644e,4.4227780000,USD,3.7212688354
2018-10-21T15:00:00Z,2018-10-21T20:00:00Z,SpotUsage:i3.8xlarge,i-06f0dc52984e0f7d5,4.8527780000,USD,4.0830278420
2018-10-21T15:00:00Z,2018-10-21T20:00:00Z,SpotUsage:i3.8xlarge,i-07589f9d91dd4fa71,4.6147220000,USD,3.8827513256
2018-10-21T15:00:00Z,2018-10-21T20:00:00Z,SpotUsage:i3.8xlarge,i-09aa594981db018f7,4.4075000000,USD,3.7084154538
2018-10-21T16:00:00Z,2018-10-21T19:00:00Z,SpotUsage:i3.8xlarge,i-05fec57d24efa5f28,2.3219440000,USD,1.9536371961
2018-10-21T16:00:00Z,2018-10-21T19:00:00Z,SpotUsage:i3.8xlarge,i-0c86b44a1ce9111b4,2.4247220000,USD,2.0401043258
2018-10-21T16:00:00Z,2018-10-21T20:00:00Z,SpotUsage:i3.8xlarge,i-0441ae0cb9a7683e8,3.9333330000,USD,3.3092987647
2018-10-21T16:00:00Z,2018-10-21T20:00:00Z,SpotUsage:i3.8xlarge,i-0463e09afda08c1ee,3.1716670000,USD,2.6685091473
2018-10-21T16:00:00Z,2018-10-21T20:00:00Z,SpotUsage:i3.8xlarge,i-06184d76d7a48bbd3,3.5508330000,USD,2.9875015089
2018-10-21T16:00:00Z,2018-10-21T20:00:00Z,SpotUsage:i3.8xlarge,i-07dad4a15f5514bad,3.5519440000,USD,2.9884361932
2018-10-21T16:00:00Z,2018-10-21T20:00:00Z,SpotUsage:i3.8xlarge,i-0807128910897f60c,3.3127780000,USD,2.7872258338
2018-10-21T16:00:00Z,2018-10-21T20:00:00Z,SpotUsage:i3.8xlarge,i-0977eecea2f450993,3.0361110000,USD,2.5544658824
2018-10-21T16:00:00Z,2018-10-21T20:00:00Z,SpotUsage:i3.8xlarge,i-0a21c98f5c465470b,3.9525000000,USD,3.3254239621
2018-10-21T16:00:00Z,2018-10-21T20:00:00Z,SpotUsage:i3.8xlarge,i-0a4afc0d092847180,3.1747220000,USD,2.6710793189
